ts_code,name,close,week_ret_%,ytd_ret_%
000016.SH,上证50,2827.6713,-4.33,-6.88
000300.SH,沪深300,4529.0953,-5.26,-2.63
000001.SH,上证指数,3764.1547,-5.81,-5.07
399001.SZ,深证成指,13706.8841,-8.9,0.76
399006.SZ,创业板指,3428.6298,-10.78,5.73
899050.BJ,北证50,1076.3823,-10.98,-25.8
000905.SH,中证500,7513.7627,-11.64,0.74
000852.SH,中证1000,7167.9959,-12.57,-5.65
000688.SH,科创50,1715.4044,-16.93,26.14
